"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","vorinostat-6179-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"FGR;FGL2;LCP2"
"2","valproic acid-348-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"CCL22;CCL21;PRF1"
"3","khellin-6641-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;PLA1A"
"4","apigenin-1321-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"HCK;NCF2;MNDA"
"5","cefaclor-6622-dn","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;MYO1F"
"6","ascorbic acid-1610-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;ARHGAP15"
"34","racecadotril-5755-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;HLA-DQB2"
"35","trichostatin A-1175-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;LCP2"
"36","tropicamide-2347-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGL2;NKG7"
"37","N-phenylanthranilic acid-317-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"38","clorgiline-6659-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MYO1F;PLA1A"
"39","0317956-0000-3969-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;RASGRP1"
"40","vorinostat-1161-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;LCP2"
"41","clozapine-5589-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"42","acebutolol-6631-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MNDA;MYO1F"
"43","valproic acid-410-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGL2;MNDA"
"44","cefsulodin-4148-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"45","alprostadil-6555-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"46","trichostatin A-5693-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ALDH3B2;RASGRP1"
"47","methoxamine-6627-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MNDA;MYO1F"
"48","clemizole-2301-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"49","PF-00875133-00-5923-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"50","F0447-0125-6401-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;PLA1A"
"51","ethoxyquin-4321-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"52","diphenylpyraline-3640-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;MYO1F"
"53","cefuroxime-5787-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"54","tocainide-4838-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"55","cobalt chloride-383-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL21;MYO1F"
"56","clopamide-1605-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"APOC2;CST7"
"57","PHA-00851261E-3968-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"KLF8;PRF1"
"58","methoxsalen-6661-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MYO1F;PLA1A"
"59","clindamycin-1373-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;APOC2"
"60","0317956-0000-4331-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"61","estradiol-1182-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;FGL2"
"62","orlistat-6415-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"KLF8;MYO1F"
"63","quinethazone-4351-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"64","profenamine-6697-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"65","lobeline-1770-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;APOC2"
"66","geldanamycin-593-dn","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;RASGRP1"
