Gid	Name	CPM-N1	CPM-N2	CPM-N3	CPM-P1	CPM-P2	CPM-P3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000228463.10	AP006222.1	10.5852	3.4477	4.5613	3.0658	4.8401	6.3739	538.3543	-0.0734	0.4027	-0.1824	0.8553	0.9375	NC
ENSG00000237094.12	AL732372.2	564.2611	37.9701	166.0159	235.9152	270.4109	339.4103	26862.2265	0.6744	0.6968	0.9679	0.3331	0.5887	NC
ENSG00000233653.3	CICP7	9.8259	1.6671	3.6	2.758	2.737	4.2635	402.2672	-0.1679	0.5505	-0.3049	0.7605	0.8874	NC
ENSG00000250575.1	AL732372.3	295.1203	21.1399	88.8132	80.0564	88.628	111.2674	10967.4672	0.0085	0.6884	0.0124	0.9901	0.9961	NC
ENSG00000230021.10	AL669831.3	88.424	7.281	31.2882	27.5248	46.3276	51.8085	4056.9231	0.4402	0.6351	0.6932	0.4882	0.7133	NC
ENSG00000225972.1	MTND1P23	61.7666	19.1552	53.3407	7.049	27.0717	55.0763	3337.3807	-0.4674	0.4945	-0.9451	0.3446	0.5982	NC
ENSG00000225630.1	MTND2P28	713.8099	402.9505	872.2431	210.2435	475.8349	682.7011	53537.9362	-0.338	0.2706	-1.2488	0.2117	0.4605	NC
ENSG00000237973.1	MTCO1P12	1277.61	379.5537	871.6588	397.524	851.102	1884.3382	88278.0987	0.4947	0.4163	1.1883	0.2347	0.4873	NC
ENSG00000229344.1	MTCO2P12	10.7389	1.5197	4.8817	1.1266	3.3262	10.4077	465.6253	-0.0621	0.6543	-0.0949	0.9244	0.9681	NC
ENSG00000248527.1	MTATP6P1	409.2977	266.2444	617.2632	123.2613	316.3134	458.3792	34732.2665	-0.3527	0.3272	-1.0779	0.2811	0.5364	NC
ENSG00000198744.5	MTCO3P12	13.0982	5.2963	7.954	2.0808	6.5852	20.3813	838.4958	0.1671	0.5486	0.3046	0.7607	0.8874	NC
ENSG00000229376.3	CICP3	10.4406	1.429	3.4304	2.6841	3.177	4.0507	404.856	-0.1521	0.5834	-0.2608	0.7942	0.9061	NC
ENSG00000228327.3	AL669831.1	810.3423	68.3076	243.3882	278.0427	325.1583	393.0569	34723.0104	0.3541	0.6605	0.5362	0.5918	0.7854	NC
ENSG00000237491.10	LINC01409	11.5343	4.4684	9.8954	3.2936	7.5696	7.3015	709.3578	-0.2177	0.305	-0.7137	0.4754	0.7047	NC
ENSG00000177757.2	FAM87B	1.5186	0.4423	0.9801	0.8496	1.4766	1.3361	112.0783	0.6881	0.4224	1.6293	0.1032	0.3092	NC
ENSG00000228794.9	LINC01128	15.4032	14.3806	13.2504	9.9547	23.4845	15.02	1612.3311	0.3742	0.4228	0.8851	0.3761	0.626	NC
ENSG00000225880.5	LINC00115	3.3084	0.8733	2.2429	1.2374	2.6923	2.3317	207.5461	0.3156	0.4107	0.7685	0.4422	0.6792	NC
ENSG00000230699.2	AL645608.2	0.0181	0.0227	0.0565	2.3702	7.4578	0.4425	208.8385	7.1978	1.0353	6.9527	0	0	Up
ENSG00000188976.11	NOC2L	40.777	32.7986	49.9857	24.0711	44.6869	58.4462	4218.2921	0.2411	0.2664	0.9051	0.3654	0.617	NC
ENSG00000187961.14	KLHL17	16.262	11.3298	14.4378	5.3129	14.4904	15.3689	1273.753	-0.0999	0.3027	-0.3299	0.7415	0.8767	NC
ENSG00000187583.11	PLEKHN1	0.5966	0.30620000000000003	0.6785	0.8065	1.4543	1.7871	97.2098	1.6392	0.3363	4.8741	0	1e-4	Up
ENSG00000188290.10	HES4	3.5977	1.4743	3.732	0.4925	1.4841	0.9531	182.4165	-1.2804	0.4072	-3.1446	0.0017	0.0232	NC
ENSG00000187608.10	ISG15	18.6574	9.4812	15.1729	39.8004	16.9962	7.5483	2311.1371	1.3308	0.768	1.7327	0.0832	0.2721	NC
ENSG00000188157.15	AGRN	8.8677	7.4738	9.1226	15.046	17.9956	15.0966	1385.9073	1.2742	0.4256	2.9937	0.0028	0.0328	NC
ENSG00000217801.10	AL390719.1	2.5853	2.427	1.3194	0.6156	3.6021	1.4297	205.4831	-0.0991	0.6314	-0.1569	0.8753	0.948	NC
ENSG00000131591.17	C1orf159	16.6507	9.0389	13.0619	3.1028	15.9074	15.3264	1161.2771	-0.064	0.4313	-0.1483	0.8821	0.9505	NC
ENSG00000186891.14	TNFRSF18	5.9208	1.9507	7.7844	0.474	2.8265	2.0764	313.2156	-1.3089	0.5306	-2.4666	0.0136	0.0931	NC
ENSG00000186827.11	TNFRSF4	3.7785	2.2002	4.0712	0.4679	5.5859	1.6424	283.3646	-0.2216	0.6747	-0.3285	0.7425	0.877	NC
ENSG00000078808.17	SDF4	100.2295	53.9725	98.2185	52.2854	86.7487	117.8967	8489.837	0.2899	0.2231	1.2995	0.1938	0.4398	NC
ENSG00000176022.7	B3GALT6	8.0994	7.213	12.553	5.5283	10.5304	14.4329	976.8304	0.3222	0.3093	1.0418	0.2975	0.553	NC
ENSG00000160087.20	UBE2J2	40.9578	23.3287	41.8998	25.6964	39.0265	56.089	3823.1973	0.4541	0.2381	1.907	0.0565	0.2184	NC
ENSG00000162572.21	SCNN1D	8.7231	5.8407	6.2388	1.6499	7.592	6.2378	590.6547	-0.3233	0.4346	-0.7439	0.4569	0.6904	NC
ENSG00000131584.19	ACAP3	93.5674	41.7921	79.5022	38.1444	90.2762	125.7683	7591.3245	0.4492	0.2744	1.6368	0.1017	0.3067	NC
ENSG00000169972.12	PUSL1	4.5197	2.5404	3.8074	1.496	5.9215	7.0803	406.6638	0.529	0.3869	1.3673	0.1715	0.4103	NC
ENSG00000127054.20	INTS11	104.6498	56.7737	86.5137	39.1479	88.7846	113.046	8010.5398	0.1568	0.248	0.6322	0.5272	0.7406	NC
ENSG00000240731.1	AL139287.1	4.7186	2.6538	3.6377	2.0747	4.2435	5.3527	377.1523	0.2918	0.2718	1.0736	0.283	0.5387	NC
ENSG00000224051.7	CPTP	9.6722	8.4945	11.8367	4.4756	12.0816	11.7097	974.3227	0.075	0.3271	0.2292	0.8187	0.919	NC
ENSG00000169962.5	TAS1R3	1.6813	1.5311	0.9047	0.5294	2.7519	3.0891	172.3616	0.5978	0.5597	1.0681	0.2855	0.5412	NC
ENSG00000107404.20	DVL1	28.2212	19.5521	31.8536	7.9539	23.5069	24.1852	2196.4914	-0.3479	0.3012	-1.1549	0.2481	0.5014	NC
ENSG00000162576.16	MXRA8	9.4372	6.2036	6.2576	1.6807	5.3323	10.0077	620.4226	-0.335	0.44	-0.7614	0.4464	0.6827	NC
ENSG00000175756.13	AURKAIP1	30.7432	19.915	29.818	21.547	30.4948	32.9079	2875.7755	0.3902	0.3036	1.2852	0.1987	0.4457	NC
ENSG00000221978.12	CCNL2	249.6699	143.4313	194.2129	73.7831	160.3717	204.0087	16783.007	-0.2304	0.2577	-0.8941	0.3713	0.6218	NC
ENSG00000224870.7	MRPL20-AS1	14.8247	12.2371	16.8692	5.9408	11.9772	13.9393	1266.64	-0.2721	0.2812	-0.9679	0.3331	0.5887	NC
ENSG00000242485.6	MRPL20	21.7489	15.8549	26.8777	11.9309	22.2092	29.1636	2132.5859	0.1895	0.2509	0.7552	0.4501	0.6858	NC
ENSG00000272455.1	AL391244.2	1.1661	0.7825	0.9801	0.4371	1.3051	1.4977	101.3768	0.2821	0.3726	0.757	0.4491	0.6847	NC
ENSG00000215915.10	ATAD3C	1.7717	1.2589	1.3759	0.671	1.6034	1.9147	143.245	0.0773	0.3444	0.2244	0.8224	0.9207	NC
ENSG00000160072.20	ATAD3B	42.5668	32.0727	47.9878	12.2449	35.1559	39.2138	3409.8978	-0.3551	0.3043	-1.1671	0.2432	0.4961	NC
ENSG00000197785.14	ATAD3A	15.7648	12.9969	20.5635	8.7542	18.7637	23.9895	1680.0426	0.2387	0.2821	0.846	0.3975	0.6455	NC
ENSG00000160075.12	SSU72	92.8804	58.5202	94.3735	53.3196	78.1424	110.2377	8236.096	0.2385	0.2494	0.9564	0.3389	0.5937	NC
ENSG00000215014.5	AL645728.1	1.9706	0.9527	2.5068	1.3298	1.3946	2.1615	174.2894	0.2289	0.387	0.5913	0.5543	0.7589	NC
ENSG00000228594.4	FNDC10	2.9469	1.8826	5.843	1.5391	2.64	3.1657	292.7307	-0.2232	0.3859	-0.5785	0.5629	0.765	NC
ENSG00000286989.1	AL691432.4	1.7717	0.8052	1.9791	0.6833	1.4319	1.2935	130.1403	-0.1013	0.3459	-0.293	0.7695	0.8926	NC
ENSG00000272106.1	AL691432.2	9.0485	5.4664	6.6911	1.7484	4.1913	4.9868	521.5537	-0.7835	0.2988	-2.6224	0.0087	0.0694	NC
ENSG00000197530.12	MIB2	120.3785	63.9867	112.8637	17.8656	47.5358	62.7608	6693.1059	-1.0384	0.278	-3.736	2e-4	0.0048	Down
ENSG00000189409.14	MMP23B	13.7761	8.3924	13.3069	1.6622	4.0943	5.4464	738.0068	-1.4934	0.2709	-5.5119	0	0	Down
ENSG00000248333.8	CDK11B	182.5067	98.6679	152.9729	75.0329	96.1827	134.8144	12400.4661	-0.1983	0.2873	-0.6901	0.4901	0.7149	NC
ENSG00000189339.12	SLC35E2B	202.059	91.9879	148.6189	63.9146	128.0572	157.5274	12924.3965	-0.0923	0.2565	-0.3596	0.7191	0.8643	NC
ENSG00000269737.2	AL691432.1	8.9852	4.5365	7.5016	2.9304	6.2496	8.7482	631.5646	-0.0247	0.2589	-0.0952	0.9241	0.968	NC
ENSG00000215914.4	MMP23A	10.4767	5.1262	9.0472	1.3236	2.5506	3.7869	506.1779	-1.4636	0.2591	-5.6498	0	0	Down
ENSG00000008128.23	CDK11A	30.0652	8.8574	16.0022	10.5827	16.1983	16.1944	1623.8118	0.0354	0.399	0.0887	0.9293	0.9703	NC
ENSG00000268575.1	AL031282.2	6.9965	3.1302	6.6158	2.364	5.1309	4.9443	475.4337	-0.1373	0.2871	-0.478	0.6326	0.8113	NC
ENSG00000215790.7	SLC35E2A	81.319	34.7946	54.7543	25.4563	54.3447	55.255	5016.9932	-0.0671	0.2935	-0.2285	0.8192	0.9193	NC
ENSG00000008130.15	NADK	319.3008	48.9824	161.53	171.8836	187.2196	308.3831	20033.8685	0.7808	0.5199	1.5019	0.1331	0.3561	NC
ENSG00000078369.18	GNB1	398.9746	161.872	348.4675	240.6556	311.1228	452.4393	32263.3431	0.4869	0.3031	1.6062	0.1082	0.3178	NC
ENSG00000067606.17	PRKCZ	7.2044	6.714	7.332	1.6622	4.8252	4.1528	531.7391	-0.8605	0.3739	-2.3017	0.0214	0.1227	NC
ENSG00000182873.5	PRKCZ-AS1	4.9988	3.924	3.8828	1.4775	3.3709	2.9359	347.7801	-0.5286	0.3634	-1.4548	0.1457	0.3749	NC
ENSG00000162585.17	FAAP20	28.0223	16.2632	20.6954	11.5985	24.2004	26.968	2136.62	0.1676	0.2739	0.612	0.5405	0.7491	NC
ENSG00000157933.10	SKI	86.9596	51.9764	94.6562	19.3738	49.885	46.8983	5627.8428	-0.7788	0.2729	-2.8535	0.0043	0.044	NC
ENSG00000116151.14	MORN1	4.9175	2.393	3.6754	1.299	3.6767	3.838	320.1909	-0.1177	0.318	-0.3702	0.7112	0.8596	NC
ENSG00000157916.20	RER1	86.2816	41.4065	61.012	41.7458	69.1409	98.2898	6645.099	0.4004	0.2672	1.4986	0.134	0.3573	NC
ENSG00000157911.10	PEX10	3.2452	2.6992	4.1466	3.349	4.6238	5.4464	414.0325	0.6963	0.3344	2.0822	0.0373	0.1718	NC
ENSG00000149527.18	PLCH2	30.8788	22.6709	26.0107	4.728	19.7332	16.7816	1962.6799	-0.8406	0.4019	-2.0917	0.0365	0.1694	NC
ENSG00000157881.15	PANK4	18.0699	11.636	16.0588	7.0243	15.2362	20.5004	1459.4674	0.0757	0.2583	0.2932	0.7693	0.8925	NC
ENSG00000272449.2	AL139246.5	11.9682	5.5685	7.9163	1.9208	5.3323	5.5059	609.2787	-0.7913	0.3244	-2.4397	0.0147	0.0978	NC
ENSG00000238164.6	TNFRSF14-AS1	15.4756	6.6799	10.5174	2.9489	9.5459	11.8033	900.3237	-0.2628	0.3551	-0.74	0.4593	0.6924	NC
ENSG00000157873.17	TNFRSF14	218.6193	98.5431	149.6367	52.3223	165.0253	160.7357	13599.6376	-0.1047	0.3344	-0.3131	0.7542	0.8837	NC
ENSG00000225931.3	AL139246.2	1.9254	1.1114	1.3194	0.6772	1.2454	1.1999	125.9368	-0.221	0.357	-0.619	0.5359	0.746	NC
ENSG00000157870.16	PRXL2B	11.5072	11.103	9.9142	4.6542	12.7006	15.7008	1100.868	0.092	0.3851	0.239	0.8111	0.9156	NC
ENSG00000215912.12	TTC34	3.1457	2.0527	3.11	0.8557	1.6929	4.0507	237.1815	-0.237	0.3904	-0.607	0.5439	0.7514	NC
ENSG00000162591.16	MEGF6	61.0796	51.0805	36.773	13.1991	44.3438	20.2281	3876.1076	-0.7681	0.5122	-1.4998	0.1337	0.3567	NC
ENSG00000158109.15	TPRG1L	56.9215	37.3577	48.1009	24.4159	32.2026	37.3671	4032.001	-0.2966	0.3218	-0.9217	0.3567	0.6092	NC
ENSG00000116213.16	WRAP73	49.1837	19.1438	37.4516	16.2034	32.5531	47.145	3247.0382	0.1027	0.2838	0.3619	0.7174	0.863	NC
ENSG00000227372.12	TP73-AS1	40.3341	24.6443	29.2337	13.8824	33.6569	44.4729	3060.727	0.1151	0.3021	0.3811	0.7031	0.8549	NC
ENSG00000235169.8	SMIM1	0.6328	2.5404	0.2827	142.3519	1.417	1.4382	4648.0781	6.0302	2.0654	2.9197	NA	NA	NC
ENSG00000130764.10	LRRC47	27.8777	18.7242	30.2138	16.0618	27.7876	43.1198	2729.2895	0.3817	0.2451	1.5574	0.1194	0.335	NC
ENSG00000272153.1	AL365330.1	1.383	0.6464	1.2628	0.5479	1.1261	1.8892	110.3814	0.3113	0.3405	0.9143	0.3605	0.6127	NC
ENSG00000116198.13	CEP104	55.5656	25.166	48.2705	18.2657	34.2833	46.1919	3691.7653	-0.1283	0.2396	-0.5355	0.5923	0.7857	NC
ENSG00000169598.15	DFFB	19.534300000000002	10.1843	14.8525	6.224	13.1182	18.1347	1337.2167	-0.0521	0.2629	-0.1981	0.843	0.9311	NC
ENSG00000198912.11	C1orf174	25.2382	16.0704	24.2766	9.6838	17.7868	27.2233	1976.9761	-0.0703	0.2442	-0.2877	0.7736	0.8944	NC
ENSG00000131697.18	NPHP4	17.8529	6.9294	17.4724	6.4887	12.5141	19.9473	1297.071	0.1329	0.3021	0.4399	0.66	0.8292	NC
ENSG00000069424.15	KCNAB2	356.7242	164.5939	358.4382	149.4193	247.0905	407.8898	27339.0708	0.1243	0.262	0.4744	0.6352	0.8136	NC
ENSG00000116251.11	RPL22	167.8537	155.9519	132.0512	54.1507	154.5248	176.9982	14120.1312	-0.1693	0.3902	-0.4338	0.6644	0.8318	NC
ENSG00000158286.13	RNF207	2.1333	1.2248000000000001	2.0356	0.2339	2.4014	1.1574	145.4661	-0.3793	0.6121	-0.6197	0.5355	0.7459	NC
ENSG00000116237.16	ICMT	28.854	14.1764	30.8735	15.8771	29.391	31.6655	2518.1876	0.3606	0.2585	1.3951	0.163	0.3988	NC
ENSG00000158292.7	GPR153	5.8033	2.7672	8.9906	0.8742	1.1709	3.8635	354.2699	-1.3838	0.4741	-2.9189	0.0035	0.0386	NC
ENSG00000097021.19	ACOT7	5.4237	3.3797	6.1257	2.4256	8.7256	4.9017	516.5388	0.3426	0.4116	0.8323	0.4052	0.6519	NC
ENSG00000187017.17	ESPN	0.8949	13.1557	1.2817	4.5064	1.0963	0.2383	494.9154	-0.9971	1.7274	-0.5772	0.5638	0.7657	NC
ENSG00000215788.10	TNFRSF25	78.3631	87.6216	62.2937	6.932	65.5686	21.8365	5451.0601	-1.2492	0.6663	-1.8747	0.0608	0.2279	NC
ENSG00000171680.22	PLEKHG5	5.2248	7.3831	3.6377	0.6033	4.2584	1.7786	398.7796	-1.3118	0.6664	-1.9683	0.049	0.2019	NC
ENSG00000162408.11	NOL9	35.1364	30.054	36.3207	12.8297	29.0629	34.0397	2962.8556	-0.2679	0.3015	-0.8884	0.3743	0.6243	NC
ENSG00000173662.21	TAS1R1	1.5457	0.4423	1.6775	0.4433	0.7607	1.1744	94.4047	-0.3058	0.4242	-0.7209	0.471	0.7012	NC
ENSG00000204859.13	ZBTB48	47.421	18.1231	35.9814	19.3985	32.3891	48.5151	3298.4869	0.2611	0.2852	0.9157	0.3598	0.6121	NC
ENSG00000162413.16	KLHL21	86.2364	26.9012	66.0256	27.18	45.2611	71.0154	5154.4054	-0.0224	0.3309	-0.0678	0.9459	0.9775	NC
ENSG00000116273.6	PHF13	24.2981	6.4077	12.0252	6.027	6.5181	9.1227	1039.9546	-0.5567	0.4438	-1.2544	0.2097	0.4586	NC
ENSG00000041988.15	THAP3	9.1479	5.4437	8.7456	2.9181	6.3764	9.1992	678.3755	-0.1558	0.2585	-0.6027	0.5467	0.7535	NC
ENSG00000007923.16	DNAJC11	22.7975	12.2144	22.3918	13.353	22.5075	34.0738	2118.4408	0.5263	0.2319	2.2699	0.0232	0.1288	NC
ENSG00000171735.19	CAMTA1	14.3547	8.4378	16.0022	7.1536	11.1494	19.5218	1259.651	0.1894	0.2649	0.715	0.4746	0.7044	NC
ENSG00000049245.13	VAMP3	100.2205	27.4682	82.9325	66.7711	78.7539	133.1635	8208.0162	0.7862	0.3914	2.0086	0.0446	0.1909	NC
ENSG00000269925.1	Z98884.2	4.131	1.3269	3.6943	1.3605	2.0956	2.7062	246.3108	-0.2186	0.3528	-0.6195	0.5356	0.7459	NC
ENSG00000049246.14	PER3	9.6903	5.5798	10.1404	1.5637	4.4374	4.6124	571.0136	-1.0593	0.2905	-3.6468	3e-4	0.0063	Down
ENSG00000049247.13	UTS2	23.7467	0.7258	18.0001	5.2144	16.1013	0.4766	1004.2079	-0.3328	1.0946	-0.3041	0.7611	0.8877	NC
ENSG00000049249.8	TNFRSF9	5.8214	1.5878	0.9801	0.6526	1.417	2.7657	205.3785	-0.6271	0.627	-1.0001	0.3173	0.5727	NC
ENSG00000116288.13	PARK7	49.6809	41.5312	61.3889	46.9479	65.2032	93.5242	6216.1221	0.671	0.301	2.2294	0.0258	0.1373	NC
ENSG00000116285.13	ERRFI1	2.6757	1.0661	2.7895	1.0219	0.9546	1.685	166.2548	-0.442	0.4077	-1.0842	0.2783	0.5338	NC
ENSG00000142599.19	RERE	236.8429	78.9229	166.6944	87.9303	117.855	148.6516	13788.9654	-0.0678	0.3457	-0.1963	0.8444	0.9319	NC
ENSG00000232912.6	RERE-AS1	3.1457	0.8506	1.6021	0.8557	1.581	1.4212	153.7075	-0.1732	0.4387	-0.3949	0.6929	0.8493	NC
ENSG00000074800.16	ENO1	288.3859	177.1939	315.2945	503.8185	534.438	858.4313	48203.7202	1.6059	0.3237	4.9612	0	1e-4	Up
ENSG00000131686.15	CA6	1.9796	5.1602	0.9613	0.5356	6.5927	1.4552	303.8927	-0.0829	0.9223	-0.0899	0.9283	0.9698	NC
ENSG00000142583.18	SLC2A5	1.8169	1.0207	2.0356	1.3729	3.3411	11.3608	321.9706	1.7577	0.5229	3.3616	8e-4	0.0134	NC
ENSG00000180758.12	GPR157	4.8542	2.2569	4.5801	1.8592	2.8489	4.8166	344.7232	-0.0377	0.2843	-0.1326	0.8945	0.9565	NC
ENSG00000049239.12	H6PD	77.8659	41.2704	98.0489	48.764	72.4298	111.9567	7475.471	0.3888	0.2784	1.3968	0.1625	0.398	NC
ENSG00000171621.14	SPSB1	1.6181	1.3269	1.1121	2.9735	2.6028	2.9274	242.8174	1.4239	0.5018	2.8375	0.0045	0.0455	NC
ENSG00000171612.7	SLC25A33	8.479	4.7519	10.0273	5.0174	12.0592	9.6673	839.698	0.4856	0.314	1.5464	0.122	0.3391	NC
ENSG00000231181.1	AL954705.1	1.6361	0.4536	1.0932	0.6587	1.3499	1.7616	112.6675	0.5277	0.397	1.3294	0.1837	0.4265	NC
ENSG00000188807.13	TMEM201	9.2022	4.5818	8.9718	2.6534	9.4266	9.2418	705.9756	0.0943	0.3434	0.2745	0.7837	0.8998	NC
ENSG00000171608.16	PIK3CD	456.4023	191.7672	301.8933	136.4788	257.9714	235.521	26034.4245	-0.2749	0.3193	-0.861	0.3893	0.6387	NC
ENSG00000179840.5	PIK3CD-AS1	1.5909	2.5744	4.0335	0.8865	1.0143	1.1744	193.0842	-1.1243	0.5119	-2.1964	0.0281	0.1452	NC
ENSG00000171603.17	CLSTN1	161.3182	114.1145	188.8977	45.1441	124.9473	114.9522	12225.2447	-0.5067	0.2973	-1.7044	0.0883	0.2829	NC
ENSG00000178585.15	CTNNBIP1	11.3174	7.4965	17.4347	9.5669	12.1487	21.6833	1339.5058	0.5377	0.3319	1.62	0.1052	0.3127	NC
ENSG00000162441.12	LZIC	14.9693	14.3352	24.974	12.3865	16.1311	25.4447	1848.3542	0.2355	0.3508	0.6712	0.5021	0.7242	NC
ENSG00000173614.14	NMNAT1	6.1016	2.2796	5.4283	4.7588	5.832	11.7948	606.3326	0.9959	0.3465	2.8744	0.004	0.0422	NC
ENSG00000162444.12	RBP7	12.9535	1.5311	10.4797	11.2475	12.3724	70.9729	1833.3033	2.1343	0.6951	3.0706	0.0021	0.0276	NC
ENSG00000130939.20	UBE4B	86.3178	34.3863	76.5241	45.3288	59.6621	93.6178	6580.8614	0.3376	0.3016	1.1192	0.2631	0.5178	NC
ENSG00000054523.17	KIF1B	58.7926	15.1631	58.3355	47.4527	37.2664	61.3566	4814.3445	0.6519	0.4883	1.3351	0.1819	0.4241	NC
ENSG00000142657.21	PGD	187.2072	31.9139	153.199	355.7782	219.3476	487.764	26565.905	2.0524	0.5742	3.5743	4e-4	0.0078	Up
ENSG00000160049.12	DFFA	20.1128	20.2439	27.1604	12.2387	20.5685	31.5208	2228.4663	0.0902	0.3268	0.276	0.7825	0.8993	NC
ENSG00000142655.13	PEX14	9.4282	6.7253	12.7038	8.1571	9.3073	20.3558	1125.1785	0.6266	0.344	1.8217	0.0685	0.2437	NC
ENSG00000287727.1	AL139423.2	1.1571	0.533	1.6398	0.5725	1.1709	1.8126	110.336	0.3465	0.3778	0.9172	0.3591	0.6114	NC
ENSG00000130940.15	CASZ1	13.1524	4.9674	15.0409	4.8758	8.2557	7.0037	867.2265	-0.3175	0.3748	-0.847	0.397	0.6453	NC
ENSG00000272078.1	AL139423.1	2.8203	0.8392	2.4314	0.7757	1.5139	1.1403	152.7464	-0.4332	0.4238	-1.022	0.3068	0.5622	NC
ENSG00000120948.17	TARDBP	103.9086	52.6796	81.3493	34.2659	65.7625	86.3418	6946.4993	-0.1195	0.24	-0.4979	0.6185	0.8029	NC
ENSG00000009724.17	MASP2	17.2382	8.6873	13.0807	4.7465	9.0686	11.8714	1052.7771	-0.3701	0.2533	-1.4613	0.1439	0.3723	NC
ENSG00000271895.2	AL109811.2	5.2519	2.5064	2.9592	1.4529	3.1472	3.9486	315.1363	-0.123	0.3376	-0.3645	0.7155	0.8619	NC
ENSG00000116649.10	SRM	13.2066	12.9516	19.1499	6.8396	21.4783	29.9635	1690.1991	0.4371	0.3844	1.1372	0.2554	0.5094	NC
ENSG00000171824.14	EXOSC10	60.2751	25.1093	49.6276	26.0534	48.5649	71.7388	4591.982	0.3671	0.2634	1.3936	0.1634	0.3996	NC
ENSG00000198793.13	MTOR	92.7539	34.7606	81.4435	42.9463	74.861	107.3614	7097.4511	0.397	0.2835	1.4002	0.1614	0.3968	NC
ENSG00000120942.13	UBIAD1	17.6902	17.0344	19.6776	7.7446	17.0484	19.9813	1672.3981	-0.1395	0.3258	-0.4282	0.6685	0.8345	NC
ENSG00000116661.11	FBXO2	1.7175	2.2909	2.1487	0.2216	1.7973	2.1275	168.0358	-0.6507	0.616	-1.0563	0.2908	0.5468	NC
ENSG00000132879.14	FBXO44	40.9578	30.0313	28.2348	7.0182	32.1131	28.5338	2726.395	-0.4794	0.4422	-1.0841	0.2783	0.5338	NC
ENSG00000116663.11	FBXO6	13.1705	4.7746	11.4221	11.5246	22.3807	15.2583	1373.9287	1.1361	0.3857	2.9458	0.0032	0.0366	NC
ENSG00000116670.15	MAD2L2	21.9026	9.2544	17.1143	9.6284	19.8004	19.8792	1620.3582	0.323	0.2813	1.1485	0.2508	0.5043	NC
ENSG00000162490.7	DRAXIN	5.3423	4.6612	8.1048	0.7203	1.3349	2.9359	365.8545	-1.7461	0.3854	-4.5302	0	3e-4	Down
ENSG00000177674.16	AGTRAP	81.1653	18.2365	62.6706	63.182	78.4556	145.5199	7526.4013	1.1939	0.4285	2.7861	0.0053	0.0509	NC
ENSG00000177000.12	MTHFR	69.3146	29.3168	68.7209	45.9567	93.3488	97.209	6778.7345	0.8039	0.2759	2.9135	0.0036	0.0391	NC
ENSG00000011021.23	CLCN6	41.0663	13.3031	36.9238	22.4951	48.11	64.3096	3688.5969	0.8435	0.3263	2.5852	0.0097	0.0748	NC
ENSG00000285646.2	AL021155.5	0.6689	0.5897	0.6597	1.1328	2.7668	7.2249	207.9137	2.5316	0.4922	5.1439	0	0	Up
ENSG00000116685.16	KIAA2013	56.7768	26.2434	54.0192	37.892	51.4809	70.0793	5034.992	0.5497	0.2807	1.958	0.0502	0.2046	NC
ENSG00000083444.17	PLOD1	49.9159	15.9003	42.9553	40.6931	52.4803	94.4858	4988.9245	1.1187	0.3529	3.17	0.0015	0.022	NC
ENSG00000116688.16	MFN2	119.7457	35.804	89.9253	100.3229	86.6517	130.7892	9914.7262	0.8436	0.4383	1.9245	0.0543	0.214	NC
ENSG00000116691.11	MIIP	35.2449	17.987	32.7772	31.1693	36.722	38.6862	3415.8331	0.707	0.3543	1.9955	0.046	0.1947	NC
