Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000130764.10	LRRC47	8.1602	7.7516	45.8535	44.6681	46.2069	111.0177	-1.2159	0.241	-5.0455	0	0	NC
ENSG00000116198.13	CEP104	26.1127	27.8352	58.6715	56.7646	53.5431	218.729	0.2165	0.2072	1.0446	0.2962	0.4366	NC
ENSG00000198912.11	C1orf174	9.7923	19.7312	46.6155	43.5886	44.2044	156.1558	-0.1508	0.4412	-0.3419	0.7324	0.8421	NC
ENSG00000131697.18	NPHP4	13.8724	4.2281	27.4986	27.7226	24.61	83.9582	-0.3524	0.4221	-0.8348	0.4038	0.5597	NC
ENSG00000069424.15	KCNAB2	39.985	28.8922	487.6934	457.355	508.7061	940.1396	-2.4914	0.2385	-10.4448	0	0	Down
ENSG00000116251.11	RPL22	17.9525	24.3117	88.219	79.3813	104.4661	251.365	-0.7801	0.2764	-2.8222	0.0048	0.0137	NC
ENSG00000116237.16	ICMT	16.3204	11.9797	125.6062	126.2596	113.0936	266.1103	-1.8048	0.1963	-9.1945	0	0	NC
ENSG00000097021.19	ACOT7	8.1602	19.7312	69.4068	76.263	38.5525	171.5646	-0.7553	0.5669	-1.3323	0.1828	0.293	NC
ENSG00000069812.11	HES2	0	13.3891	11.3618	36.4781	5.1091	63.3687	-0.0148	1.6071	-0.0092	0.9926	0.996	NC
ENSG00000162408.11	NOL9	4.8961	9.8656	20.9457	20.8005	19.4821	79.8506	0.0882	0.5614	0.1571	0.8752	0.93	NC
ENSG00000204859.13	ZBTB48	5.7121	2.8187	43.2629	38.517	39.245	87.6491	-1.9564	0.3406	-5.7438	0	0	NC
ENSG00000162413.16	KLHL21	4.0801	19.0266	40.7907	41.3612	34.6037	120.8663	-0.4167	0.719	-0.5795	0.5622	0.7237	NC
ENSG00000007923.16	DNAJC11	14.6884	15.5031	41.8405	41.7553	41.6405	146.1539	-0.1228	0.317	-0.3875	0.6984	0.8208	NC
ENSG00000171735.19	CAMTA1	22.4406	15.5031	54.1167	47.0154	48.8457	173.1836	-0.1136	0.2012	-0.5648	0.5722	0.7317	NC
ENSG00000049245.13	VAMP3	124.4432	162.4304	262.8451	265.5239	278.3829	1182.1063	0.4425	0.2764	1.6009	0.1094	0.1911	NC
ENSG00000049246.14	PER3	5.7121	23.9594	25.5683	42.355	16.9369	126.9364	0.4944	0.8071	0.6126	0.5401	0.7049	NC
ENSG00000049247.13	UTS2	17.1364	11.9797	0	0	0.0561	65.8472	10.8543	0.9508	11.4162	0	0	Up
ENSG00000116288.13	PARK7	56.3055	62.0125	141.2858	124.3235	148.5582	510.7515	0.0569	0.2108	0.2699	0.7872	0.8774	NC
ENSG00000116285.13	ERRFI1	43.2491	16.2078	34.187	24.9641	34.323	181.8812	1.0636	0.4617	2.3034	0.0213	0.0494	NC
ENSG00000142599.19	RERE	56.3055	40.8719	63.2603	55.0855	80.455	371.7992	0.9244	0.2528	3.6566	3e-4	0.001	NC
ENSG00000074800.16	ENO1	115.875	57.432	766.7431	840.7258	681.0883	1615.7923	-1.8913	0.2159	-8.758	0	0	NC
ENSG00000131686.15	CA6	8.9762	0	0	0.0514	0.0749	16.1268	7.5612	1.9641	3.8497	1e-4	5e-4	NC
ENSG00000142583.18	SLC2A5	6.5282	2.8187	0.6096	1.662	0.4117	25.3263	3.6866	0.8769	4.204	0	1e-4	NC
ENSG00000180758.12	GPR157	0.816	8.4562	32.5445	39.8363	23.4122	74.6812	-1.4004	1.0071	-1.3905	0.1644	0.2679	NC
ENSG00000228526.7	MIR34AHG	9.7923	7.0469	50.256	54.9141	31.6655	115.0233	-1.1351	0.3976	-2.8547	0.0043	0.0126	NC
ENSG00000234546.4	LNCTAM34A	11.4243	2.1141	1.6425	1.1994	2.2271	34.7762	3.2005	0.6137	5.2152	0	0	NC
ENSG00000049239.12	H6PD	9.3842	6.6945	237.1922	204.5444	281.4334	416.3821	-3.6389	0.3434	-10.5956	0	0	Down
ENSG00000171612.7	SLC25A33	4.8961	7.0469	13.0551	14.2554	7.9351	46.7259	0.2821	0.5411	0.5214	0.6021	0.7536	NC
ENSG00000171603.17	CLSTN1	8.9762	12.6844	119.0871	90.0386	87.4169	210.8088	-1.865	0.3144	-5.9314	0	0	NC
ENSG00000162441.12	LZIC	8.9762	26.7781	69.9656	66.1711	76.1319	218.2573	-0.4704	0.6756	-0.6962	0.4863	0.6493	NC
ENSG00000173614.14	NMNAT1	8.9762	5.9898	19.3709	20.2865	22.3081	76.5239	-0.1309	0.3045	-0.4297	0.6674	0.7995	NC
ENSG00000162444.12	RBP7	4.0801	20.0836	10.8877	12.7476	15.7204	88.7316	1.314	0.7266	1.8084	0.0705	0.1328	NC
ENSG00000130939.20	UBE4B	42.4331	41.9289	85.5775	81.3003	81.11	339.5889	0.3247	0.1415	2.2949	0.0217	0.0505	NC
ENSG00000054523.17	KIF1B	88.1303	41.5766	79.2277	78.9187	90.692	435.4205	0.8445	0.259	3.2605	0.0011	0.0038	NC
ENSG00000142657.21	PGD	77.522	73.6398	674.3587	846.0373	778.8171	1583.9595	-2.0371	0.1506	-13.5311	0	0	Down
ENSG00000160049.12	DFFA	29.3768	23.2547	43.2459	44.4796	62.6385	224.1235	0.4366	0.2769	1.5767	0.1149	0.1988	NC
ENSG00000142655.13	PEX14	3.6721	7.7516	64.835	72.2022	94.5285	148.573	-2.4582	0.4773	-5.1503	0	0	NC
ENSG00000130940.15	CASZ1	9.3842	13.3891	12.9196	8.0872	4.9033	75.897	1.7787	0.4972	3.5772	3e-4	0.0014	NC
ENSG00000120948.17	TARDBP	31.0088	38.0531	97.4642	97.2348	95.5204	324.717	-0.1884	0.2162	-0.8716	0.3834	0.5367	NC
ENSG00000116649.10	SRM	27.3367	33.4727	45.3286	36.0154	40.4053	208.0342	0.8161	0.322	2.5346	0.0113	0.0292	NC
ENSG00000171824.14	EXOSC10	62.4256	30.3016	80.8871	82.3455	77.8536	343.8723	0.4191	0.2218	1.8897	0.0588	0.114	NC
ENSG00000198793.13	MTOR	48.1452	35.9391	114.1428	127.0992	110.4736	406.4329	-0.1715	0.1396	-1.2283	0.2193	0.3419	NC
ENSG00000132879.14	FBXO44	9.7923	0.7047	19.4725	12.4906	17.6294	56.3195	-0.2182	1.0291	-0.2121	0.8321	0.905	NC
ENSG00000116663.11	FBXO6	8.1602	2.8187	65.2922	59.4032	59.6441	122.5126	-2.2371	0.3127	-7.1543	0	0	Down
ENSG00000177674.16	AGTRAP	17.5445	10.5703	82.0047	64.5605	85.8074	196.2041	-1.1568	0.261	-4.4317	0	1e-4	NC
ENSG00000177000.12	MTHFR	21.2165	3.5234	47.259	51.2817	43.8114	132.3174	-0.7518	0.5812	-1.2934	0.1959	0.3106	NC
ENSG00000011021.23	CLCN6	21.6246	4.9328	52.6435	59.4717	45.4583	141.8339	-0.8344	0.5327	-1.5665	0.1172	0.2022	NC
ENSG00000116685.16	KIAA2013	15.5044	15.1508	88.5407	74.6866	85.6764	210.2453	-1.1241	0.213	-5.2775	0	0	NC
ENSG00000083444.17	PLOD1	10.6083	13.7414	200.6008	165.6676	201.989	353.2505	-2.6901	0.3038	-8.854	0	0	Down
ENSG00000116688.16	MFN2	26.5207	22.55	169.7157	160.6474	194.0539	416.9363	-1.4089	0.3007	-4.6849	0	0	NC
ENSG00000116691.11	MIIP	11.4243	4.9328	95.246	67.6789	82.7569	165.9813	-2.1037	0.4096	-5.1358	0	0	NC
ENSG00000028137.19	TNFRSF1B	67.7298	15.8555	98.7849	106.4529	145.8259	370.4971	-0.3661	0.5152	-0.7106	0.4774	0.6398	NC
ENSG00000048707.15	VPS13D	47.3292	51.0898	148.8208	163.6629	155.8196	505.6323	-0.3347	0.1571	-2.1311	0.0331	0.0706	NC
ENSG00000162496.9	DHRS3	17.1364	39.4625	84.7647	78.5418	98.5709	287.41	-0.2674	0.4713	-0.5674	0.5704	0.7302	NC
ENSG00000157330.10	C1orf158	0	8.4562	0.6434	0.3769	0.0749	28.183	5.1684	1.6133	3.2036	0.0014	0.0046	NC
ENSG00000116731.22	PRDM2	93.0264	63.4219	114.8709	141.1833	113.4492	584.8635	0.6244	0.1431	4.3622	0	1e-4	NC
ENSG00000171729.14	TMEM51	16.3204	4.9328	33.3234	35.0731	26.5002	100.9394	-0.3395	0.3698	-0.9179	0.3586	0.5094	NC
ENSG00000142621.19	FHAD1	37.945	47.9187	34.17	35.7584	27.6044	275.6849	1.7312	0.2569	6.7398	0	0	NC
ENSG00000142634.13	EFHD2	55.4894	39.1101	459.9239	306.868	351.9508	816.458	-1.716	0.2173	-7.8959	0	0	NC
ENSG00000132906.18	CASP9	9.7923	1.4094	53.9981	40.5217	37.9349	91.1761	-1.933	0.6821	-2.8337	0.0046	0.0133	NC
ENSG00000116138.13	DNAJC16	9.3842	9.5133	39.0974	36.9235	33.93	101.7031	-0.6656	0.2571	-2.5892	0.0096	0.0254	NC
ENSG00000197312.12	DDI2	67.3217	45.1	124.0823	134.9979	105.9446	473.4011	0.1683	0.1516	1.11	0.267	0.4014	NC
ENSG00000116786.13	PLEKHM2	31.4168	22.9023	175.1172	176.4962	162.8189	402.2728	-1.3727	0.142	-9.67	0	0	NC
ENSG00000233954.6	UQCRHL	4.0801	7.7516	1.4731	1.2336	1.2539	26.7329	3.2808	0.77	4.2608	0	1e-4	NC
ENSG00000178715.8	AL450998.1	11.4243	7.0469	1.016	0.7539	0.8983	47.824	4.6539	0.3102	15.0027	0	0	Up
ENSG00000065526.11	SPEN	117.915	86.3242	184.5148	188.3186	169.1445	793.2814	0.4601	0.0948	4.8539	0	0	NC
ENSG00000116809.11	ZBTB17	8.1602	4.5805	32.3074	27.8083	27.8102	81.9148	-0.8935	0.3293	-2.7137	0.0067	0.0184	NC
ENSG00000142627.13	EPHA2	9.7923	1.4094	5.4354	3.6324	2.8821	30.3951	1.5985	0.7511	2.1282	0.0333	0.0711	NC
ENSG00000037637.11	FBXO42	10.2003	5.9898	84.6293	71.2256	72.3515	159.1328	-1.9579	0.2693	-7.2714	0	0	NC
ENSG00000055070.17	SZRD1	39.169	15.5031	138.8814	121.8905	144.0479	328.4684	-1.2113	0.43	-2.8171	0.0048	0.0139	NC
ENSG00000157191.20	NECAP2	68.1378	37.7008	318.5196	273.08	311.0028	722.7395	-1.2792	0.1975	-6.4759	0	0	NC
ENSG00000219481.10	NBPF1	12.2403	19.0266	52.4742	58.0325	44.1108	166.9906	-0.3406	0.3275	-1.04	0.2984	0.4391	NC
ENSG00000215908.10	CROCCP2	8.1602	3.5234	29.1241	29.3846	29.9999	78.9569	-1.0614	0.2881	-3.6838	2e-4	9e-4	NC
ENSG00000238142.2	BX284668.5	3.2641	7.0469	2.6246	4.2149	5.5583	32.2702	1.6289	0.5721	2.8471	0.0044	0.0129	NC
ENSG00000117118.9	SDHB	89.7623	70.8211	107.2343	112.2613	101.4343	550.9139	0.8094	0.2222	3.6432	3e-4	0.0011	NC
ENSG00000117115.13	PADI2	8.1602	57.7844	50.3576	75.6461	61.1226	288.5917	0.5583	0.9741	0.5732	0.5665	0.7274	NC
ENSG00000179051.14	RCC2	7.3442	21.8453	58.2482	58.3238	63.0315	172.5676	-0.6588	0.6505	-1.0128	0.3111	0.4546	NC
ENSG00000074964.17	ARHGEF10L	23.6646	10.9227	300.6895	261.1548	309.5244	538.2446	-2.815	0.2264	-12.4314	0	0	Down
ENSG00000127481.15	UBR4	112.6109	75.0492	327.4261	426.4112	329.8861	1050.3695	-0.6369	0.1622	-3.9268	1e-4	4e-4	NC
ENSG00000127463.15	EMC1	14.6884	6.3422	118.0035	103.3174	126.3437	235.017	-2.1927	0.2651	-8.2723	0	0	Down
ENSG00000053372.5	MRTO4	4.8961	4.2281	34.2886	36.5466	36.8308	78.4194	-1.6785	0.3269	-5.1339	0	0	NC
ENSG00000077549.18	CAPZB	102.0026	33.4727	282.7748	264.4102	282.1071	744.1092	-0.8725	0.4417	-1.9751	0.0483	0.0966	NC
ENSG00000173436.15	MICOS10	4.0801	7.7516	14.1218	14.0327	15.0467	55.0064	0.0651	0.3093	0.2104	0.8334	0.9056	NC
ENSG00000162542.13	TMCO4	17.1364	2.8187	43.0597	35.57	38.4028	107.4007	-0.7896	0.5857	-1.3482	0.1776	0.2858	NC
ENSG00000169914.6	OTUD3	11.4243	6.3422	13.7662	17.0996	12.0711	65.2983	0.5741	0.3051	1.8818	0.0599	0.1157	NC
ENSG00000162543.6	UBXN10	16.3204	33.1203	32.0196	17.8021	5.7267	147.6566	1.6385	0.7472	2.1928	0.0283	0.063	NC
ENSG00000162545.6	CAMK2N1	17.1364	0	0.2032	0.3084	0.4117	37.1275	5.8468	1.4967	3.9065	1e-4	4e-4	NC
ENSG00000244038.9	DDOST	13.0563	2.8187	271.2268	270.7498	261.053	457.9286	-3.8246000000000002	0.4298	-8.899	0	0	Down
ENSG00000127483.18	HP1BP3	108.1228	128.9578	308.6479	329.519	324.3465	1131.696	-0.0878	0.2243	-0.3916	0.6954	0.819	NC
ENSG00000075151.20	EIF4G3	124.8512	64.1266	99.5977	87.3828	87.5666	594.8064	1.2602	0.2357	5.3471	0	0	NC
ENSG00000117298.16	ECE1	26.1127	4.2281	18.2195	11.1713	12.4454	87.3168	1.2026	0.6474	1.8575	0.0632	0.1212	NC
ENSG00000162551.14	ALPL	6.5282	3.5234	1.2699	2.433	0.1871	27.533	3.2408	0.9425	3.4385	6e-4	0.0022	NC
ENSG00000090686.16	USP48	57.1215	31.7109	80.0236	77.9078	82.8692	345.1996	0.4125	0.1456	2.833	0.0046	0.0133	NC
ENSG00000070831.17	CDC42	230.526	225.8523	429.1573	410.4766	415.3566	1825.3683	0.4304	0.1239	3.4736	5e-4	0.0019	NC
ENSG00000184677.18	ZBTB40	31.4168	16.2078	99.1744	111.9186	107.3295	291.1144	-0.8608	0.2165	-3.9762	1e-4	3e-4	NC
ENSG00000173372.17	C1QA	119.1391	113.807	1627.9702	1359.0432	1701.7008	3028.83	-2.4632	0.1674	-14.7111	0	0	Down
ENSG00000159189.12	C1QC	79.9701	50.7375	1130.4897	931.5697	961.5673	1893.0429	-2.6926	0.1658	-16.2435	0	0	Down
ENSG00000173369.16	C1QB	130.1554	288.5695	1805.2209	1625.2353	1562.2006	3735.4617	-1.6073	0.4696	-3.4227	6e-4	0.0023	NC
ENSG00000133216.16	EPHB2	10.6083	0	0.9482	4.866	0.917	27.9159	2.4007	1.5257	1.5735	0.1156	0.1998	NC
ENSG00000004487.16	KDM1A	13.4643	41.2242	116.598	110.3937	135.6637	331.923	-0.8097	0.5684	-1.4246	0.1543	0.2541	NC
ENSG00000169641.13	LUZP1	22.0326	45.8047	83.698	87.5542	77.8724	313.533	0.0867	0.5505	0.1575	0.8749	0.9298	NC
ENSG00000125944.20	HNRNPR	29.3768	14.798400000000001	53.033	55.1197	52.5512	194.0432	-0.0084	0.1607	-0.0524	0.9582	0.9779	NC
ENSG00000204219.11	TCEA3	31.0088	51.0898	11.2602	23.4734	19.4634	252.8944	2.5743	0.4531	5.6819	0	0	NC
ENSG00000142676.14	RPL11	785.8283	1029.5482	414.0196	401.31	504.121	5517.7945	2.3981	0.2752	8.7154	0	0	Up
ENSG00000011007.12	ELOA	59.9776	27.4828	79.6341	80.4265	95.352	355.135	0.3201	0.2917	1.0974	0.2725	0.408	NC
ENSG00000057757.10	PITHD1	62.4256	19.0266	46.5139	44.7709	46.525	251.6849	0.9309	0.5008	1.8586	0.0631	0.1209	NC
ENSG00000011009.11	LYPLA2	5.7121	9.8656	69.4238	59.763	65.3709	144.6873	-1.6948	0.3212	-5.2764	0	0	NC
ENSG00000117308.15	GALE	22.4406	7.0469	49.3925	40.7958	31.628	138.71190000000001	-0.1769	0.4834	-0.366	0.7144	0.8307	NC
ENSG00000117305.15	HMGCL	8.5682	16.9125	62.329	59.249	61.6466	173.7908	-0.7579	0.4667	-1.6239	0.1044	0.1835	NC
ENSG00000179163.11	FUCA1	22.0326	49.3281	196.7571	217.3777	178.0902	497.2704	-1.1163	0.4879	-2.2881	0.0221	0.0512	NC
ENSG00000189266.13	PNRC2	55.0814	60.6031	94.3316	99.3252	96.5872	456.1506	0.5923	0.2781	2.1298	0.0332	0.0708	NC
ENSG00000188529.15	SRSF10	52.2254	52.8516	132.2607	138.5275	129.7685	479.7848	-0.036	0.1222	-0.2942	0.7686	0.8658	NC
ENSG00000185436.12	IFNLR1	3.2641	9.1609	76.9418	62.6244	43.5494	127.4096	-1.9546	0.5948	-3.2863	0.001	0.0035	NC
ENSG00000001460.18	STPG1	4.0801	4.5805	35.694	19.2071	25.1901	59.7081	-1.4503	0.6086	-2.3828	0.0172	0.0418	NC
ENSG00000001461.17	NIPAL3	12.2403	13.3891	51.4413	41.2413	44.3167	134.3665	-0.5394	0.251	-2.1492	0.0316	0.0687	NC
ENSG00000117602.12	RCAN3	13.0563	26.7781	41.722	46.2615	37.2612	176.1928	0.3384	0.4187	0.8082	0.419	0.5765	NC
ENSG00000133226.17	SRRM1	109.7548	96.5422	115.5821	114.0775	117.5103	691.0653	1.1113	0.1152	9.6489	0	0	NC
ENSG00000169504.15	CLIC4	91.3944	109.9312	442.9405	584.2314	489.5796	1347.1369	-0.9255	0.258	-3.5876	3e-4	0.0013	NC
ENSG00000020633.18	RUNX3	15.0964	2.1141	25.0603	29.3332	22.4016	85.5794	-0.2491	0.7031	-0.3543	0.7231	0.8356	NC
ENSG00000117614.10	SYF2	60.7936	23.2547	65.0382	74.995	75.402	320.8082	0.4818	0.333	1.4468	0.1479	0.2455	NC
ENSG00000284602.1	AL031432.4	13.8724	0	0.6604	0.9595	1.1603	31.0215	3.9509	1.4161	2.79	0.0053	0.015	NC
ENSG00000117616.18	RSRP1	53.8574	19.7312	205.9176	197.588	208.9696	501.2705	-1.2188	0.4893	-2.491	0.0127	0.0325	NC
ENSG00000183726.11	TMEM50A	47.7372	35.5867	217.144	227.9493	217.0919	574.3916	-1.0669	0.1642	-6.4987	0	0	NC
ENSG00000204178.11	MACO1	7.3442	11.9797	37.9968	37.5404	38.983	115.8892	-0.5879	0.3252	-1.8076	0.0707	0.133	NC
ENSG00000157978.11	LDLRAP1	8.1602	7.3992000000000004	62.9047	64.1836	38.0285	125.8632	-1.5127	0.3781	-4.0005	1e-4	3e-4	NC
ENSG00000117643.14	MAN1C1	0.816	17.6172	30.4957	30.3955	30.9356	91.9852	-0.5058	1.1877	-0.4259	0.6702	0.8017	NC
ENSG00000162430.17	SELENON	13.8724	4.2281	327.4769	249.5037	202.8499	445.1572	-3.6874	0.4336	-8.5036	0	0	Down
ENSG00000117640.18	MTFR1L	6.5282	9.1609	41.976	41.1727	41.4907	102.2596	-1.0916	0.2534	-4.307	0	1e-4	NC
ENSG00000117632.23	STMN1	21.2165	23.607	199.297	230.5536	250.8347	468.4968	-2.0322	0.2216	-9.1724	0	0	Down
ENSG00000158006.14	PAFAH2	4.8961	11.275	83.9689	67.7645	85.8823	170.8113	-1.8627	0.4598	-4.051	1e-4	2e-4	NC
ENSG00000130695.15	CEP85	8.1602	4.2281	52.779	49.2599	45.9449	106.5674	-1.7362	0.3157	-5.4993	0	0	NC
ENSG00000142669.15	SH3BGRL3	498.9969	330.4984	417.6432	303.8867	386.9288	2667.683	1.4418	0.1546	9.3244	0	0	NC
ENSG00000169442.9	CD52	132.6034	439.3726	425.4152	435.7491	384.7953	2231.3677	0.8732	0.6309	1.384	0.1664	0.2705	NC
ENSG00000117682.17	DHDDS	27.7447	10.5703	53.4732	49.4313	43.8114	167.5994	-0.1407	0.3729	-0.3773	0.7059	0.8255	NC
ENSG00000198830.11	HMGN2	77.93	60.9555	208.9147	190.7516	218.5516	682.7516	-0.2641	0.1324	-1.9953	0.046	0.0936	NC
ENSG00000117676.14	RPS6KA1	19.5845	12.6844	214.2993	201.4089	194.8961	402.5454	-2.3687	0.1826	-12.9715	0	0	Down
ENSG00000117713.20	ARID1A	62.8336	40.1672	178.0127	169.4371	186.0253	519.478	-0.5591	0.1757	-3.1829	0.0015	0.0049	NC
ENSG00000204160.12	ZDHHC18	15.9124	2.1141	75.5195	82.5168	68.2155	164.5992	-1.7637	0.6877	-2.5646	0.0103	0.0271	NC
ENSG00000142751.15	GPN2	9.7923	0.7047	34.0854	32.3145	35.0341	79.3709	-1.4239	0.8563	-1.6628	0.0963	0.1717	NC
ENSG00000198746.13	GPATCH3	5.7121	7.7516	21.6907	19.7896	20.343	77.0159	-0.0744	0.5001	-0.1488	0.8817	0.9341	NC
ENSG00000090273.14	NUDC	16.3204	26.0734	80.0913	68.3128	80.5299	232.9145	-0.4927	0.3187	-1.546	0.1221	0.2091	NC
ENSG00000090020.11	SLC9A1	1.632	23.2547	219.2097	213.3341	209.1568	410.9506	-2.5398	1.1535	-2.2017	0.0277	0.0618	NC
ENSG00000142784.16	WDTC1	6.5282	11.9797	84.5277	85.6181	90.7294	181.0665	-1.9655	0.5664	-3.47	5e-4	0.0019	NC
ENSG00000142765.18	SYTL1	4.8961	5.9898	25.5852	32.0918	16.0012	66.3868	-0.8559	0.4501	-1.9014	0.0573	0.1115	NC
ENSG00000142733.17	MAP3K6	4.8961	3.5234	17.6946	24.7585	7.6169	44.9738	-0.7742	0.6115	-1.2661	0.2055	0.3234	NC
ENSG00000158195.11	WASF2	164.0202	145.1656	295.0171	233.5521	298.8008	1220.618	0.4604	0.1506	3.058	0.0022	0.007	NC
ENSG00000000938.13	FGR	204.4133	135.6523	471.9461	439.1416	308.3079	1475.2143	-0.0037	0.2296	-0.0161	0.9871	0.9932	NC
ENSG00000126709.15	IFI6	206.8614	563.7499	335.0289	307.759	240.0924	2553.587	1.7743	0.563	3.1514	0.0016	0.0053	NC
ENSG00000009780.15	FAM76A	9.7923	5.2852	20.4038	23.9189	19.1827	65.4062	-0.2865	0.3632	-0.7888	0.4302	0.5894	NC
ENSG00000117758.14	STX12	115.467	80.3344	329.2718	288.2949	301.4208	964.238	-0.377	0.1427	-2.6412	0.0083	0.0223	NC
ENSG00000117751.18	PPP1R8	13.0563	7.0469	53.8965	54.897	55.7514	130.6565	-1.1908	0.2375	-5.0131	0	0	NC
ENSG00000130775.16	THEMIS2	52.2254	81.3914	572.1195	540.3001	617.6638	1256.8253	-1.7566	0.3673	-4.7819	0	0	NC
ENSG00000117748.10	RPA2	23.2566	13.3891	61.8549	66.548	70.8543	188.9941	-0.6414	0.293	-2.1893	0.0286	0.0635	NC
ENSG00000158161.16	EYA3	58.7535	42.2812	46.9203	46.1073	42.8382	327.9738	1.4482	0.1231	11.7634	0	0	NC
ENSG00000169403.12	PTAFR	75.482	41.9289	390.4494	391.7664	373.5103	903.8263	-1.4246	0.1626	-8.7619	0	0	NC
ENSG00000126698.11	DNAJC8	42.0251	42.2812	109.7742	111.0619	114.9651	387.4876	-0.113	0.1568	-0.7203	0.4714	0.6331	NC
ENSG00000130770.18	ATP5IF1	12.2403	11.275	16.2045	15.0778	15.945	89.0297	0.8924	0.2175	4.1023	0	2e-4	NC
ENSG00000204138.13	PHACTR4	66.0977	126.139	67.6966	73.2131	59.8874	604.808	1.847	0.4562	4.0486	1e-4	2e-4	NC
ENSG00000200087.1	SNORA73B	4.8961	3.5234	0.745	0.4969	0.6363	23.897	4.058	0.4331	9.3706	0	0	Up
ENSG00000180098.9	TRNAU1AP	16.3204	22.55	28.2098	25.2725	27.0055	146.2648	0.8786	0.2463	3.5677	4e-4	0.0014	NC
ENSG00000197989.14	SNHG12	9.3842	20.4359	46.243	48.7459	39.8626	156.2366	-0.1511	0.4469	-0.3381	0.7353	0.8441	NC
ENSG00000120656.11	TAF12	13.4643	14.798400000000001	31.7487	31.3208	36.1945	128.427	0.0999	0.2258	0.4423	0.6583	0.7931	NC
