"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"vorinostat-6179","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"FGR;FGL2;LCP2"
"valproic acid-348","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"CCL22;CCL21;PRF1"
"khellin-6641","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;PLA1A"
"apigenin-1321","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"HCK;NCF2;MNDA"
"cefaclor-6622","3/100",0.00120859060453896,0.190017690585897,0,0,15.7501982553529,105.814563048524,"PRF1;MNDA;MYO1F"
"ascorbic acid-1610","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;ARHGAP15"
"trichostatin A-6193","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;FGL2"
"racecadotril-5755","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;HLA-DQB2"
"trichostatin A-1175","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;LCP2"
"tropicamide-2347","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGL2;NKG7"
"N-phenylanthranilic acid-317","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"clorgiline-6659","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MYO1F;PLA1A"
"0317956-0000-3969","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;RASGRP1"
"vorinostat-1161","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGR;LCP2"
"clozapine-5589","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"acebutolol-6631","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MNDA;MYO1F"
"valproic acid-410","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FGL2;MNDA"
"cefsulodin-4148","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"alprostadil-6555","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"trichostatin A-5693","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ALDH3B2;RASGRP1"
"methoxamine-6627","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MNDA;MYO1F"
"clemizole-2301","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"PF-00875133-00-5923","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL22;PRF1"
"F0447-0125-6401","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;PLA1A"
"ethoxyquin-4321","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"diphenylpyraline-3640","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"FCN1;MYO1F"
"cefuroxime-5787","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ITK;MYO1F"
"tocainide-4838","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"cobalt chloride-383","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"CCL21;MYO1F"
"clopamide-1605","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"APOC2;CST7"
"PHA-00851261E-3968","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"KLF8;PRF1"
"methoxsalen-6661","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"MYO1F;PLA1A"
"clindamycin-1373","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;APOC2"
"0317956-0000-4331","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"estradiol-1182","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;FGL2"
"orlistat-6415","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"KLF8;MYO1F"
"quinethazone-4351","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"profenamine-6697","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"PRF1;MYO1F"
"lobeline-1770","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"BIN2;APOC2"
"geldanamycin-593","2/100",0.0187140554000923,0.190017690585897,0,0,10.1326530612245,40.3125617234172,"ZBED2;RASGRP1"
